observation_date,JPNRGDPEXP
1994-01-01,446235.7
1994-04-01,443828.7
1994-07-01,448904.7
1994-10-01,447175.8
1995-01-01,452032.6
1995-04-01,456360.5
1995-07-01,461688.2
1995-10-01,462859.0
1996-01-01,466634.7
1996-04-01,472570.2
1996-07-01,473158.1
1996-10-01,478456.7
1997-01-01,479572.3
1997-04-01,476101.5
1997-07-01,477003.9
1997-10-01,477195.7
1998-01-01,471298.1
1998-04-01,469328.9
1998-07-01,470142.6
1998-10-01,473918.8
1999-01-01,467354.9
1999-04-01,469197.0
1999-07-01,471677.3
1999-10-01,471826.2
2000-01-01,479972.8
2000-04-01,482125.7
2000-07-01,482262.0
2000-10-01,486916.7
2001-01-01,490547.7
2001-04-01,486851.1
2001-07-01,481603.1
2001-10-01,479888.4
2002-01-01,480741.3
2002-04-01,484578.5
2002-07-01,486186.4
2002-10-01,487497.7
2003-01-01,487799.5
2003-04-01,491106.9
2003-07-01,492635.9
2003-10-01,497985.5
2004-01-01,501747.1
2004-04-01,501659.2
2004-07-01,504785.3
2004-10-01,503841.0
2005-01-01,506384.3
2005-04-01,510308.7
2005-07-01,515496.6
2005-10-01,516454.4
2006-01-01,517223.3
2006-04-01,517991.5
2006-07-01,516967.9
2006-10-01,524035.3
2007-01-01,527421.0
2007-04-01,527599.5
2007-07-01,524747.6
2007-10-01,527117.2
2008-01-01,529036.1
2008-04-01,525832.2
2008-07-01,519313.4
2008-10-01,506548.0
2009-01-01,482059.9
2009-04-01,491590.2
2009-07-01,491377.4
2009-10-01,497476.7
2010-01-01,502601.5
2010-04-01,508753.7
2010-07-01,517908.5
2010-10-01,513753.9
2011-01-01,508218.7
2011-04-01,503920.0
2011-07-01,516094.1
2011-10-01,515505.9
2012-01-01,522640.5
2012-04-01,517808.6
2012-07-01,515799.5
2012-10-01,515605.0
2013-01-01,522517.0
2013-04-01,527300.9
2013-07-01,532373.3
2013-10-01,531868.0
2014-01-01,535912.4
2014-04-01,526379.8
2014-07-01,526881.3
2014-10-01,529393.7
2015-01-01,537342.6
2015-04-01,538229.8
2015-07-01,538847.0
2015-10-01,537920.6
2016-01-01,541882.7
2016-04-01,541007.9
2016-07-01,542210.0
2016-10-01,542939.0
2017-01-01,547112.6
2017-04-01,549270.4
2017-07-01,554071.2
2017-10-01,554413.1
2018-01-01,554808.3
2018-04-01,556942.9
2018-07-01,554162.0
2018-10-01,552859.6
2019-01-01,554167.4
2019-04-01,556623.4
2019-07-01,557660.5
2019-10-01,541502.9
2020-01-01,544438.4
2020-04-01,503021.0
2020-07-01,530191.0
2020-10-01,539313.1
2021-01-01,540907.3
2021-04-01,544421.6
2021-07-01,542052.6
2021-10-01,548338.0
2022-01-01,544801.9
2022-04-01,551209.7
2022-07-01,549013.0
2022-10-01,550601.7
2023-01-01,557120.0
2023-04-01,560616.0
2023-07-01,555217.0
2023-10-01,555335.6
2024-01-01,552459.5
2024-04-01,556891.4
2024-07-01,558868.7
2024-10-01,561976.8
